Mã sản phẩm,Mã shop,Tên sản phẩm,Giá,Số lượng,Tên shop,Trạng thái đơn hàng,Giao hàng vào lúc
4558611128,305173609,"[Mã LIFEHLSALE2 giảm 10% đơn 0Đ] Khăn mặt khô Chillwipes dùng 1 lần lau khô, lau ướt - Giấy lau mặt dùng một lần",38500.0,3,Chillwipes,Giao hàng thành công,2022-04-11 11:04:41
2838888785,171635808, Tai nghe Vitog kiểu nhét tai âm trầm sống động cho iPhone 8 7 8Plus 7Plus X XR XS Max,52000.0,1,vglobal.vn,,
3315363274,139029112,Kính áp tròng QUỲNH LENS dali black 0-8 độ,130000.0,1,QUỲNH LENS - Lens mắt Hàn Quốc,Giao hàng thành công,2022-03-16 08:50:18
8255529083,365540174,"Xà Phòng Sinh Dược Giảm Mụn Lưng 100% Thiên Nhiên (Xà Bông Mướp Đắng, Xà Phòng Nghệ) Xà Bông Thảo Dược",33500.0,1,BÁCH HOÁ THẢO MỘC,Giao hàng thành công,2022-03-13 08:25:40
12929905766,165563958,Dép lông đi trong nhà một màu sang chảnh,37999.0,1,Kho Sỉ Bán Buôn Việt Nam,Giao hàng thành công,2022-01-22 09:52:02
14809979751,597880382,"Bộ nỉ thêu chó shiba dài tay nữ - Set đồ ngủ quần ống bo gấu kèm áo sweater màu trắng, nâu mặc ở nhà đẹp ulzzang",99000.0,1,HAVU.STORE,Giao hàng thành công,2022-01-15 10:00:25
3538483288,182639888,Set 2 bút kẻ mắt KIMUSE kháng nước có đầu vẽ đuôi mắt trang điểm làm đẹp độc đáo 45g,55000.0,1,Kimuse.vn,,
10758524254,224559106,Set Bộ Nỉ Bông Thu Đông Foruyes Srt Bomber in hình set nỉ nữ tay phồng cực hot phong cách ULZZANG(hàng sẵn),130000.0,1,Thuhangshop95,,
13621829791,224559106,Bộ Nỉ Bông Trơn  [ Freeship ] nỉ chần bông 4 màu siêu xinh. Bộ nỉ thu đông dài tay nữ phong cách hàn quốc Ullzang,105000.0,1,Thuhangshop95,,
7852700460,60538246,"Khung Ảnh Để Bàn 10x15, 13x18, 15x21 Mặt Mika Giá Rẻ - Khung Hình Để Bàn kèm chân đế",13000.0,1,Xưởng Khung Ảnh Hà Nội,Giao hàng thành công,2022-01-09 11:06:07
11161102289,35859205,Set đầm 2 dây body dáng dài maxi kèm áo khoác cardigan màu ghi đen ulzzang Hàn Quốc mùa thu đông,199230.0,1,YoLo - Fashion,Giao hàng thành công,2021-12-07 12:16:52
10965897021,110057620,Áo len tăm cổ tim phối dây cổ yếm quyến rũ sang chảnh (áo len dây),180000.0,1,Phương_Phạm_Store,,
12312765798,527101450,"Thảm lông loang trải sàn kích thước 1,6m x2m  hàng đẹp 2021 mặt sau chống trơn trượt,thảm trải sàn cao cấp .",229000.0,1,bedding_tranhau88,Giao hàng thành công,2021-11-30 12:17:58
13908620813,7669738,Ốp lưng iphone trong lỗ camera bear.bri.ck 6/6plus/6splus/7/7plus/8/8plus/x/xs/11/12/13/pro/max/plus/promax-Awifi U4-9,9000.0,1,ỐP LƯNG IPHONE -SIÊU THỊ AWiFi,Giao hàng thành công,2021-11-11 15:03:21
12618819547,351922288,Dầu gội khô ISSY 150ml dạng xịt gội đầu khô an toàn không cần nước dùng cho nam và nữ không bết tóc GX28,35000.0,1,LYLYGA COSMETIC,Giao hàng thành công,2021-11-11 16:01:15
3503052242,157995825,"[New][màu 26-27] Son Tint Bóng, Siêu Lì, Căng Mọng Môi Hàn Quốc Romand Juicy Lasting Tint 5.5g",138000.0,1,Thế Giới Skin Food,Giao hàng thành công,2021-10-15 18:53:58
3503052242,157995825,"[New][màu 26-27] Son Tint Bóng, Siêu Lì, Căng Mọng Môi Hàn Quốc Romand Juicy Lasting Tint 5.5g",138000.0,1,Thế Giới Skin Food,,
3503052242,157995825,"[New][màu 26-27] Son Tint Bóng, Siêu Lì, Căng Mọng Môi Hàn Quốc Romand Juicy Lasting Tint 5.5g",138000.0,1,Thế Giới Skin Food,,
11304679102,364464968,[ Mã 99FASHIONSALE1 giảm 10K đơn 50K ] Kẹp Tóc Hợp Kim Đính Đá Và Ngọc Trai Giả Xinh Xắn Cho Nữ,18000.0,1,Jewelry1589.vn,Giao hàng thành công,2021-09-20 11:53:41
4081195670,134734504,[ Mã 99FASHIONSALE1 giảm 10K đơn 50K ] Kẹp Tóc Phối Lông Đáng Yêu Phong Cách Hàn Quốc Cho Nữ,12000.0,1,xiha.vn,Giao hàng thành công,2021-09-17 11:44:07
6349910369,38003654,[Mã SKAMSALE9 giảm 10% đơn 200K] Quần thể thao nam dài 3 sọc loại đẹp mẫu mới nhất 2020 QN31,70000.0,1,Thời Trang FAVITI,Giao hàng thành công,2021-09-13 10:45:07
5731329130,55996800,Xốp dán tường 3D Giả gạch - Khổ Lớn 70*77cm loại 1 siêu dính,7800.0,82,Tổng Kho Sàn Nhựa Giả Gỗ HQ,Giao hàng thành công,2021-09-05 15:28:40
5731329130,55996800,Xốp dán tường 3D Giả gạch - Khổ Lớn 70*77cm loại 1 siêu dính,7800.0,80,Tổng Kho Sàn Nhựa Giả Gỗ HQ,,
3036582089,204488152,"Wax Lông An Lành Chính Hãng ( Tặng Que và Sấp Giấy Wax ) -Tẩy Lông Tận Gốc , Da Láng Mịn - Deal Sốc Phía Dưới.",59000.0,1,MN AN LÀNH,,1970-01-01 07:00:00
7704990581,184461238,"[CHÍNH HÃNG] Kem Dưỡng Giảm Mụn, Ngừa Thâm, Thông Thoáng Lỗ Chân Lông La Roche-Posay Effaclar Duo+ 40ml",140000.0,1,Maia Beauté,,
2744157654,58967485,kính áp tròng cận lệch Hàn Quốc lens mắt tự nhiên trong veo XÁM TRONG DABAE bán chạy hot nhất 2021 made in korea,139000.0,1,LENS DABAE,,
8329587705,196537003,Cài tóc phối lông thiết kế đính tai thỏ đáng yêu phong cách Hàn Quốc cho nữ,14000.0,1,xingda.vn,,1970-01-01 07:00:00
7556789596,255856218,Nhẫn kim loại mạ bạc 925 phong cách Hàn Quốc thời trang,6800.0,1,PAPAOZHU,,
7443442938,89248394,Đai nâng cơ mặt dáng V-line bằng vải lưới thoáng khí,58900.0,1,sliprain.vn,,1970-01-01 07:00:00
7980113328,349997502,Ốp lưng TPU Mềm Bảo Vệ Camera Cho Iphone 12 11 Pro Max X Xs Max Xr 8 7 Plus,17900.0,1,aismallnut VỎ ĐIỆN THOẠI,,
8607338508,365621653,Ốp điện thoại silicon TPU cho iPhone 11 7P 12 Mini 11 Pro Max X Xr Xs Max 7 8 Plus Se 2020 12 Pro Max 12 Mini,19800.0,1,cocoon1.vn,,1970-01-01 07:00:00
1075518215,26393066,KEM CHE KHUYẾT ĐIỂM THE SAEM COVER PERFECTION TIP CONCEALER,89000.0,1,Sharon Health Beauty Care,,
581704442,37252407,"[Mã COSMALL27 -10% ĐH250k]Bút kẻ mắt nước siêu sắc mảnh không lem, trôi Maybelline New York HyperSharp Đen 0.5g",127000.0,1,Maybelline Official Store,,1970-01-01 07:00:00
7356072192,129557191,TÚI TOTE CHOCONUT,105000.0,1,NANIN,,
7356072192,129557191,TÚI TOTE CHOCONUT,105000.0,1,NANIN,,1970-01-01 07:00:00
1,799932,"Kính Cường Lực iPhone Trong Suốt iP 6,6s,6 plus,6s plus,7,7 plus,8,8 plus,x,xs,xs max,11,11 pro max,12,12 pro max [2.5D]",11583.0,1,PINO.01,,1970-01-01 07:00:00
7818723288,49669923,Quần jogger kaki nam túi hộp thời trang hot trend nhiều màu vải thoải mái êm (Hàng Tốt),90000.0,1,Thời trang 1999,,1970-01-01 07:00:00
7818723288,49669923,Quần jogger kaki nam túi hộp thời trang hot trend nhiều màu vải thoải mái êm (Hàng Tốt),90000.0,1,Thời trang 1999,,
5560359916,76057871,BỘ THUN TĂM CO GIÃN CÚC GIẢ ĐÍNH VAI MINKY MOM CHO BÉ,68000.0,1,Yểng Yểng,,1970-01-01 07:00:00
5934037363,159975869,Balo Nam Thời Trang Coda Balo Đi Học Thu Hút Thút Mọi Ánh Nhìn,239000.0,1,Túi Đeo Chéo Nam  - Codashop5,,1970-01-01 07:00:00
3237493632,129404113,Ốp điện thoại TPU mềm họa tiết tranh vẽ hoa cho iPhone 11 Pro Max X Xs Max XR 8 7 Plus SE 2020,11000.0,1,anniegirl.vn,,1970-01-01 07:00:00
3202775226,182631756,[Mã COSMALL10 -10% ĐH 250K]Bảng phấn mắt FOCALLURE tông màu bình minh gồm 16 màu lì và nhũ 16.64g,100000.0,1,FOCALLURE.vn,,1970-01-01 07:00:00
3847364174,272469774,Ốp điện thoại hình hoạt họa cho iPhone11 / 11Pro 11Pro Max X XR XS XS MAX 7 8 plus SE,15432.0,1,cmy vỏ Iphone,,1970-01-01 07:00:00
6646184183,134344983,"[Phiếu Vận May 1đ] Cơ hội trúng 1 Điện Thoại Honor 9 Lite 3GB/32GB, 4 camera, 5.65"" FHD+ Glacier Grey",1.0,1,$1Game,,
3822912971,36607688,Áo Thun Cổ Vuông ( kèm ảnh thật ),39900.0,1,Xưởng Sỉ Áo Thun 42B,,1970-01-01 07:00:00
